mito,geno,sex,chromo,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Zim,w1118,f,Cy,7,1,Zim_w1118_f_Cy_7__2,32,82,3.3379,17.1312,0.9898,0,0.0364
Zim,w1118,f,Cy,7,1,Zim_w1118_f_Cy_7__3,92,142,2.4162,57.212,0.9985,0,0.0102
Zim,w1118,f,Cy,7,1,Zim_w1118_f_Cy_7__4,42,92,2.6719,7.1859,0.9936,0,0.023
Zim,w1118,f,Cy,7,1,Zim_w1118_f_Cy_7__5,67,117,4.1012,-19.2484,0.993,0,0.0369
Zim,w1118,f,Cy,7,1,Zim_w1118_f_Cy_7__6,57,107,4.1285,6.0951,0.981,0,0.0621
Zim,w1118,f,Cy,7,1,Zim_w1118_f_Cy_7__all,53,103,3.3178,9.8272,0.9984,0,0.0145
Zim,w1118,f,Cy,7,2,Zim_w1118_f_Cy_7__1,35,85,2.497,10.0462,0.9837,0,0.0347
Zim,w1118,f,Cy,7,2,Zim_w1118_f_Cy_7__2,23,73,3.5415,0.5867,0.9958,0,0.0246
Zim,w1118,f,Cy,7,2,Zim_w1118_f_Cy_7__3,63,113,3.3323,28.3004,0.9967,0,0.0205
Zim,w1118,f,Cy,7,2,Zim_w1118_f_Cy_7__4,74,124,2.462,8.3838,0.987,0,0.0305
Zim,w1118,f,Cy,7,2,Zim_w1118_f_Cy_7__5,57,107,4.415,-34.4731,0.9865,0,0.0557
Zim,w1118,f,Cy,7,2,Zim_w1118_f_Cy_7__6,28,78,3.4404,3.1152,0.9929,0,0.0314
Zim,w1118,f,Cy,7,2,Zim_w1118_f_Cy_7__all,70,120,3.0507,9.5417,0.9976,0,0.0162
Zim,w1118,f,Cy,7,3,Zim_w1118_f_Cy_7__1,27,77,2.6666,25.2785,0.983,0,0.0379
Zim,w1118,f,Cy,7,3,Zim_w1118_f_Cy_7__2,17,67,2.3799,36.8219,0.9851,0,0.0316
Zim,w1118,f,Cy,7,3,Zim_w1118_f_Cy_7__3,51,101,2.9223,39.2227,0.9956,0,0.0209
Zim,w1118,f,Cy,7,3,Zim_w1118_f_Cy_7__4,43,93,2.3081,16.6846,0.9888,0,0.0265
Zim,w1118,f,Cy,7,3,Zim_w1118_f_Cy_7__5,0,50,2.9894,27.4113,0.9902,0,0.0321
Zim,w1118,f,Cy,7,3,Zim_w1118_f_Cy_7__6,35,85,3.9476,2.7311,0.9939,0,0.0333
Zim,w1118,f,Cy,7,3,Zim_w1118_f_Cy_7__all,35,85,2.964,20.8901,0.9986,0,0.0117
Zim,w1118,f,Df,7,1,Zim_w1118_f_Df_7__1,21,71,3.327,12.3415,0.9475,0,0.0853
Zim,w1118,f,Df,7,1,Zim_w1118_f_Df_7__2,9,59,2.1314,44.3159,0.9605,0,0.047
Zim,w1118,f,Df,7,1,Zim_w1118_f_Df_7__3,26,76,3.93,-7.5356,0.9833,0,0.0553
Zim,w1118,f,Df,7,1,Zim_w1118_f_Df_7__4,27,77,2.1436,13.3648,0.9678,0,0.0424
Zim,w1118,f,Df,7,1,Zim_w1118_f_Df_7__5,27,77,2.0501,22.1667,0.9787,0,0.0327
Zim,w1118,f,Df,7,1,Zim_w1118_f_Df_7__6,7,57,6.7411,3.6676,0.95,0,0.1684
Zim,w1118,f,Df,7,1,Zim_w1118_f_Df_7__all,20,70,3.8408,12.0854,0.9692,0,0.0742
Zim,w1118,f,Df,7,2,Zim_w1118_f_Df_7__1,12,62,2.056,38.073,0.9813,0,0.0306
Zim,w1118,f,Df,7,2,Zim_w1118_f_Df_7__2,27,77,2.5474,30.2639,0.9813,0,0.0379
Zim,w1118,f,Df,7,2,Zim_w1118_f_Df_7__3,69,119,3.115,-6.3079,0.9747,0,0.0543
Zim,w1118,f,Df,7,2,Zim_w1118_f_Df_7__4,73,123,2.9866,1.1102,0.9895,0,0.0332
Zim,w1118,f,Df,7,2,Zim_w1118_f_Df_7__5,65,115,3.3682,31.0997,0.9885,0,0.0392
Zim,w1118,f,Df,7,2,Zim_w1118_f_Df_7__6,42,92,3.4663,27.3664,0.9847,0,0.0466
Zim,w1118,f,Df,7,2,Zim_w1118_f_Df_7__all,36,86,2.7818,30.0894,0.9964,0,0.0179
Zim,w1118,f,Df,7,3,Zim_w1118_f_Df_7__1,14,64,2.2445,29.9082,0.9901,0,0.0242
Zim,w1118,f,Df,7,3,Zim_w1118_f_Df_7__2,11,61,2.1203,44.3406,0.9874,0,0.0259
Zim,w1118,f,Df,7,3,Zim_w1118_f_Df_7__3,54,104,2.9266,37.9155,0.9956,0,0.0209
