mito,geno,sex,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
w1118,1491,f,10,4,w1118_1491_f_10__all,66,116,0.2675,31.7346,0.808,0,0.0291
w1118,1491,m,10,1,w1118_1491_m_10__1,0,50,1.8521,84.3985,0.9281,0,0.1061
w1118,1491,m,10,1,w1118_1491_m_10__2,49,99,1.3727,34.814,0.9886,0,0.0299
w1118,1491,m,10,1,w1118_1491_m_10__3,46,96,1.5709,-23.2216,0.979,0,0.0467
w1118,1491,m,10,1,w1118_1491_m_10__4,36,86,1.6286,37.67,0.9571,0,0.0704
w1118,1491,m,10,1,w1118_1491_m_10__5,6,56,2.1158,19.8941,0.984,0,0.0548
w1118,1491,m,10,1,w1118_1491_m_10__6,8,58,2.2571,78.0643,0.982,0,0.062
w1118,1491,m,10,1,w1118_1491_m_10__all,40,90,1.6639,39.1148,0.9925,0,0.0293
w1118,1491,m,10,2,w1118_1491_m_10__1,11,61,1.0171,50.4302,0.9601,0,0.0423
w1118,1491,m,10,2,w1118_1491_m_10__2,1,51,1.109,42.9806,0.9487,0,0.0528
w1118,1491,m,10,2,w1118_1491_m_10__3,21,71,1.0781,31.643,0.9655,0,0.0415
w1118,1491,m,10,2,w1118_1491_m_10__4,18,68,1.5872,41.4441,0.98,0,0.0461
w1118,1491,m,10,2,w1118_1491_m_10__5,0,50,1.3411,57.2673,0.9714,0,0.0468
