fly,X,Y,mito,nuc,sex
78,340,0.925791855,yak,1491,f
79,347,0.963800905,yak,1491,f
80,218,0.409954751,yak,1491,f
81,309,0.542986425,yak,1491,f
82,418,0.568325792,yak,1491,f
83,343,0.648868778,yak,1491,f
84,86,0.791855204,yak,1491,f
85,403,0.849773756,yak,1491,f
86,313,0.922171946,yak,1491,f
87,309,0.314027149,yak,1491,f
88,84,0.708597285,yak,1491,f
89,304,0.752036199,yak,1491,f
90,199,0.789140271,yak,1491,f
91,157,0.697737557,yak,1491,f
92,245,0.815384615,yak,1491,f
93,110,0.869683258,yak,1491,f
94,266,0.935746606,yak,1491,f
95,390,0.966515837,yak,1491,f
96,52,0.712217195,yak,1491,f
97,173,0.714027149,yak,1491,f
98,227,0.847963801,yak,1491,f
99,105,0.858823529,yak,1491,f
100,447,0.898642534,yak,1491,f
101,194,0.915837104,yak,1491,f
102,180,0.750226244,yak,1491,f
103,185,0.79638009,yak,1491,f
104,235,0.828959276,yak,1491,f
105,296,0.728506787,yak,1491,f
106,105,0.837104072,yak,1491,f
107,157,0.925791855,yak,1491,f
108,393,0.692307692,yak,1491,f
109,190,0.821719457,yak,1491,f
110,128,0.883257919,yak,1491,f
111,325,0.695022624,yak,1491,f
112,148,0.758371041,yak,1491,f
113,394,0.911312217,yak,1491,f
114,350,0.708597285,yak,1491,f
115,232,0.718552036,yak,1491,f
116,408,0.923076923,yak,1491,f
117,149,0.725791855,yak,1491,f
118,161,0.835294118,yak,1491,f
119,106,0.914932127,yak,1491,f
120,160,0.761085973,yak,1491,f
121,280,0.814479638,yak,1491,f
122,123,0.960180995,yak,1491,f
123,182,0.857918552,yak,1491,f
124,46,0.909502262,yak,1491,f
125,193,0.646153846,yak,1491,f
126,293,0.694117647,yak,1491,f
127,40,0.994570136,yak,1491,f
128,240,0.667873303,yak,1491,f
129,436,0.994570136,yak,1491,f
0,463,-0.070588235,zim,4959,f
1,441,-0.028054299,zim,4959,f
2,448,0.819004525,zim,4959,f
3,452,0.836199095,zim,4959,f
4,388,0.967420814,zim,4959,f
5,435,0.671493213,zim,4959,f
6,406,0.821719457,zim,4959,f
7,62,0.317647059,zim,4959,f
8,208,0.900452489,zim,4959,f
9,471,0.904072398,zim,4959,f
10,321,0.946606335,zim,4959,f
11,399,0.503167421,zim,4959,f
12,325,0.767420814,zim,4959,f
13,447,0.811764706,zim,4959,f
14,359,0.826244344,zim,4959,f
15,447,0.914932127,zim,4959,f
16,193,0.953846154,zim,4959,f
17,428,0.846153846,zim,4959,f
18,449,0.842533937,zim,4959,f
19,114,0.942081448,zim,4959,f
20,391,0.659728507,zim,4959,f
21,436,0.845248869,zim,4959,f
22,439,0.643438914,zim,4959,f
23,403,0.942081448,zim,4959,f
24,425,0.712217195,zim,4959,f
25,397,0.735746606,zim,4959,f
26,404,0.80361991,zim,4959,f
27,364,0.852488688,zim,4959,f
28,428,0.914027149,zim,4959,f
29,268,0.821719457,zim,4959,f
30,344,0.828054299,zim,4959,f
31,366,0.900452489,zim,4959,f
32,300,0.800904977,zim,4959,f
33,271,0.857013575,zim,4959,f
34,317,0.870588235,zim,4959,f
35,115,0.804524887,zim,4959,f
36,444,0.847963801,zim,4959,f
37,235,0.743891403,zim,4959,f
38,117,0.814479638,zim,4959,f
39,322,0.875113122,zim,4959,f
40,400,0.895927602,zim,4959,f
41,220,0.98280543,zim,4959,f
42,163,0.883257919,zim,4959,f
43,417,0.962895928,zim,4959,f
44,248,0.856108597,zim,4959,f
45,367,0.864253394,zim,4959,f
46,213,0.926696833,zim,4959,f
47,139,0.943891403,zim,4959,f
48,251,0.798190045,zim,4959,f
49,39,0.847963801,zim,4959,f
50,84,0.919457014,zim,4959,f
51,431,0.735746606,zim,4959,f
52,210,0.847963801,zim,4959,f
53,47,0.853393665,zim,4959,f
54,95,0.881447964,zim,4959,f
55,40,0.904977376,zim,4959,f
56,158,0.911312217,zim,4959,f
57,339,0.745701357,zim,4959,f
58,314,0.74841629,zim,4959,f
59,225,0.82081448,zim,4959,f
60,39,0.832579186,zim,4959,f
61,342,0.567420814,zim,4959,f
62,394,0.783710407,zim,4959,f
63,155,0.942986425,zim,4959,f
64,321,0.791855204,zim,4959,f
65,40,0.88959276,zim,4959,f
66,449,0.918552036,zim,4959,f
67,357,0.682352941,zim,4959,f
68,222,0.810859729,zim,4959,f
69,173,0.8760181,zim,4959,f
70,117,0.668778281,zim,4959,f
71,44,0.704072398,zim,4959,f
72,144,0.777375566,zim,4959,f
73,193,0.876923077,zim,4959,f
74,85,0.702262443,zim,4959,f
75,384,0.824434389,zim,4959,f
76,166,0.888687783,zim,4959,f
77,272,0.94841629,zim,4959,f
78,325,0.773755656,zim,4959,f
79,315,0.778280543,zim,4959,f
80,356,0.81719457,zim,4959,f
81,51,0.825339367,zim,4959,f
82,390,0.952941176,zim,4959,f
83,248,0.967420814,zim,4959,f
84,443,0.646153846,zim,4959,f
85,172,0.751131222,zim,4959,f
86,124,0.818099548,zim,4959,f
87,223,0.859728507,zim,4959,f
88,418,0.976470588,zim,4959,f
89,367,0.718552036,zim,4959,f
90,209,0.857918552,zim,4959,f
91,125,0.866063348,zim,4959,f
92,234,0.8,zim,4959,f
93,113,0.840723982,zim,4959,f
94,296,0.871493213,zim,4959,f
95,223,0.876923077,zim,4959,f
96,390,0.720361991,zim,4959,f
97,113,0.880542986,zim,4959,f
98,275,0.789140271,zim,4959,f
99,299,0.870588235,zim,4959,f
100,116,0.773755656,zim,4959,f
101,223,0.705882353,zim,4959,f
102,379,0.743891403,zim,4959,f
103,269,0.750226244,zim,4959,f
104,331,0.874208145,zim,4959,f
105,302,0.903167421,zim,4959,f
106,187,0.769230769,zim,4959,f
107,93,0.772850679,zim,4959,f
108,81,0.701357466,zim,4959,f
109,245,0.549321267,zim,4959,f
110,143,0.934841629,zim,4959,f
111,42,0.995475113,zim,4959,f
0,460,-0.067873303,zim,w1118,m
